variant,CAGR,Sharpe,Vol,MaxDD
baseline_final,0.0807159788962315,0.832926670341398,0.09925812941431167,-0.12344866231576734
no_RSI,0.09315849400854859,0.9390247057274492,0.10037358996873778,-0.11730658667302485
no_volume,0.08052285965242478,0.8293678954680777,0.09949709753116731,-0.12351658085827832
no_RSI_no_volume,0.09160491748652744,0.9236760496369874,0.100514564523366,-0.11734530183924108
