,TOP_PCT,BOTTOM_PCT,L,S,CAGR,Sharpe,Vol,MaxDD
0,0.1,0.2,0.5,0.5,0.0162355620187411,0.21010325588847772,0.1011365948287709,-0.21152920408345166
1,0.1,0.2,0.7,0.3,0.09325857273071159,0.7701786042980252,0.12631917517278982,-0.1568603314795054
2,0.1,0.4,0.5,0.5,0.016896229704513432,0.23275038783455723,0.08920380200735553,-0.16654146483304366
3,0.1,0.4,0.7,0.3,0.09328639392167681,0.7837406628120741,0.12376055706099444,-0.16314816077105265
4,0.2,0.2,0.5,0.5,0.007330338829804051,0.12809164143752388,0.0860390490336129,-0.23276122076535843
5,0.2,0.2,0.7,0.3,0.08071177796166418,0.811580249715454,0.10223115123533776,-0.11963988268880188
6,0.2,0.4,0.5,0.5,0.007960502349104281,0.14636010319452816,0.0719729929061939,-0.15035676062820313
7,0.2,0.4,0.7,0.3,0.08071798580186118,0.8329428045249454,0.09925848184227397,-0.12344865323072163
